offset_col,offset_row,playable,terrain,subregion,site_id,visual_variant
0,3,true,grassland,subregion.life.north_west_telluria,,0
1,3,true,grassland,subregion.life.north_west_telluria,site.settlement.crullfeld,0
2,3,true,farmland,subregion.life.north_west_telluria,,0
3,3,true,farmland,subregion.life.north_west_telluria,,0
4,3,true,farmland,subregion.life.north_west_telluria,,0
5,3,true,lake,subregion.life.north_west_telluria,,0
6,3,true,lake,subregion.life.north_west_telluria,,0
7,3,true,lake,subregion.life.north_west_telluria,,0
8,3,true,lake,subregion.life.north_west_telluria,,0
9,3,true,grassland,subregion.life.north_east_telluria,,0
10,3,true,farmland,subregion.life.north_east_telluria,,0
11,3,true,farmland,subregion.life.north_east_telluria,,0
12,3,true,farmland,subregion.life.north_east_telluria,,0
13,3,true,grassland,subregion.life.north_east_telluria,,0
14,3,true,grassland,subregion.life.north_east_telluria,,0
15,3,true,lake,subregion.life.north_east_telluria,,0
16,3,true,grassland,subregion.life.north_east_telluria,site.settlement.solis,0
17,3,true,grassland,subregion.life.north_east_telluria,,0
18,3,true,grassland,subregion.life.north_east_telluria,,0
19,3,true,grassland,subregion.life.north_east_telluria,,0
0,4,true,grassland,subregion.life.north_west_telluria,,0
1,4,true,grassland,subregion.life.north_west_telluria,,0
2,4,true,farmland,subregion.life.north_west_telluria,,0
3,4,true,grassland,subregion.life.north_west_telluria,site.westmarch.south_granary,0
4,4,true,grassland,subregion.life.north_west_telluria,site.westmarch.craftsman_yard,0
5,4,true,grassland,subregion.life.north_west_telluria,,0
6,4,true,grassland,subregion.life.north_west_telluria,,0
7,4,true,lake,subregion.life.telluria_proper,,0
8,4,true,grassland,subregion.life.telluria_proper,,0
9,4,true,grassland,subregion.life.telluria_proper,,0
10,4,true,grassland,subregion.life.telluria_proper,,0
11,4,true,grassland,subregion.life.telluria_proper,,0
12,4,true,grassland,subregion.life.telluria_proper,,0
13,4,true,grassland,subregion.life.north_east_telluria,site.settlement.dornwich,0
14,4,true,grassland,subregion.life.north_east_telluria,,0
15,4,true,grassland,subregion.life.north_east_telluria,,0
16,4,true,grassland,subregion.life.north_east_telluria,site.settlement.solis,0
17,4,true,grassland,subregion.life.north_east_telluria,site.settlement.solis,0
18,4,true,grassland,subregion.life.north_east_telluria,,0
19,4,true,grassland,subregion.life.north_east_telluria,,0
0,5,true,grassland,subregion.life.north_west_telluria,,0
1,5,true,grassland,subregion.life.north_west_telluria,,0
2,5,true,grassland,subregion.life.north_west_telluria,,0
3,5,true,grassland,subregion.life.north_west_telluria,site.westmarch.textile_store,0
4,5,true,grassland,subregion.life.north_west_telluria,,0
5,5,true,grassland,subregion.life.north_west_telluria,,0
6,5,true,grassland,subregion.life.north_west_telluria,,0
7,5,true,grassland,subregion.life.telluria_proper,,0
8,5,true,grassland,subregion.life.telluria_proper,,0
9,5,true,grassland,subregion.life.telluria_proper,,0
10,5,true,grassland,subregion.life.telluria_proper,,0
11,5,true,grassland,subregion.life.telluria_proper,,0
12,5,true,grassland,subregion.life.telluria_proper,,0
13,5,true,grassland,subregion.life.north_east_telluria,,0
14,5,true,grassland,subregion.life.north_east_telluria,,0
15,5,true,grassland,subregion.life.north_east_telluria,,0
16,5,true,grassland,subregion.life.north_east_telluria,,0
17,5,true,grassland,subregion.life.north_east_telluria,,0
18,5,true,grassland,subregion.life.north_east_telluria,,0
19,5,true,grassland,subregion.life.north_east_telluria,,0
0,6,true,grassland,subregion.life.north_west_telluria,,0
1,6,true,grassland,subregion.life.north_west_telluria,,0
2,6,true,grassland,subregion.life.north_west_telluria,site.settlement.bellmare,0
3,6,true,grassland,subregion.life.north_west_telluria,,0
4,6,true,grassland,subregion.life.north_west_telluria,,0
5,6,true,grassland,subregion.life.north_west_telluria,,0
6,6,true,grassland,subregion.life.north_west_telluria,,0
7,6,true,grassland,subregion.life.telluria_proper,,0
8,6,true,grassland,subregion.life.telluria_proper,site.telluria.lumbermill,0
9,6,true,grassland,subregion.life.telluria_proper,site.telluria.textiles_warehouse,0
10,6,true,grassland,subregion.life.telluria_proper,site.telluria.craftsman_district,0
11,6,true,grassland,subregion.life.telluria_proper,,0
12,6,true,grassland,subregion.life.telluria_proper,,0
13,6,true,grassland,subregion.life.north_east_telluria,,0
14,6,true,grassland,subregion.life.north_east_telluria,,0
15,6,true,grassland,subregion.life.north_east_telluria,,0
16,6,true,grassland,subregion.life.north_east_telluria,,0
17,6,true,grassland,subregion.life.north_east_telluria,,0
18,6,true,grassland,subregion.life.north_east_telluria,site.settlement.lullin,0
19,6,true,grassland,subregion.life.north_east_telluria,,0
0,7,true,grassland,subregion.life.north_west_telluria,,0
1,7,true,grassland,subregion.life.north_west_telluria,,0
2,7,true,grassland,subregion.life.north_west_telluria,,0
3,7,true,grassland,subregion.life.north_west_telluria,,0
4,7,true,lake,subregion.life.north_west_telluria,,0
5,7,true,grassland,subregion.life.north_west_telluria,,0
6,7,true,grassland,subregion.life.north_west_telluria,,0
7,7,true,grassland,subregion.life.telluria_proper,,0
8,7,true,grassland,subregion.life.telluria_proper,site.telluria.wheat_warehouse,0
9,7,true,grassland,subregion.life.telluria_proper,site.telluria.guild_house,0
10,7,true,grassland,subregion.life.telluria_proper,site.telluria.east_merchant_quarter,0
11,7,true,grassland,subregion.life.telluria_proper,,0
12,7,true,grassland,subregion.life.telluria_proper,,0
13,7,true,grassland,subregion.life.north_east_telluria,,0
14,7,true,grassland,subregion.life.north_east_telluria,site.religious.hero_of_mercy_monument,0
15,7,true,grassland,subregion.life.north_east_telluria,site.settlement.laencaster,0
16,7,true,forest,subregion.life.north_east_telluria,,0
17,7,true,grassland,subregion.life.north_east_telluria,,0
18,7,true,forest,subregion.life.north_east_telluria,,0
19,7,true,grassland,subregion.life.north_east_telluria,,0
0,8,true,grassland,subregion.life.north_west_telluria,,0
1,8,true,grassland,subregion.life.north_west_telluria,,0
2,8,true,grassland,subregion.life.north_west_telluria,,0
3,8,true,lake,subregion.life.north_west_telluria,,0
4,8,true,lake,subregion.life.north_west_telluria,,0
5,8,true,lake,subregion.life.north_west_telluria,,0
6,8,true,marsh,subregion.life.north_west_telluria,,0
7,8,true,grassland,subregion.life.telluria_proper,,0
8,8,true,grassland,subregion.life.telluria_proper,,0
9,8,true,grassland,subregion.life.telluria_proper,site.telluria.noble_housing,0
10,8,true,grassland,subregion.life.telluria_proper,,0
11,8,true,grassland,subregion.life.telluria_proper,,0
12,8,true,grassland,subregion.life.telluria_proper,,0
13,8,true,forest,subregion.life.north_east_telluria,,0
14,8,true,forest,subregion.life.north_east_telluria,site.military.forest_gate_garrison,0
15,8,true,forest,subregion.life.north_east_telluria,,0
16,8,true,forest,subregion.life.north_east_telluria,,0
17,8,true,forest,subregion.life.north_east_telluria,,0
18,8,true,forest,subregion.life.north_east_telluria,,0
19,8,true,forest,subregion.life.north_east_telluria,,0
0,9,true,grassland,subregion.life.north_west_telluria,,0
1,9,true,grassland,subregion.life.north_west_telluria,,0
2,9,true,grassland,subregion.life.north_west_telluria,,0
3,9,true,lake,subregion.life.north_west_telluria,,0
4,9,true,marsh,subregion.life.north_west_telluria,,0
5,9,true,marsh,subregion.life.north_west_telluria,,0
6,9,true,marsh,subregion.life.north_west_telluria,,0
7,9,true,grassland,subregion.life.telluria_proper,,0
8,9,true,grassland,subregion.life.telluria_proper,,0
9,9,true,grassland,subregion.life.telluria_proper,,0
10,9,true,grassland,subregion.life.telluria_proper,,0
11,9,true,grassland,subregion.life.telluria_proper,,0
12,9,true,forest,subregion.life.telluria_proper,,0
13,9,true,forest,subregion.life.north_east_telluria,,0
14,9,true,deep_forest,subregion.life.north_east_telluria,,0
15,9,true,deep_forest,subregion.life.north_east_telluria,,0
16,9,true,deep_forest,subregion.life.north_east_telluria,,0
17,9,true,deep_forest,subregion.life.north_east_telluria,,0
18,9,true,forest,subregion.life.north_east_telluria,,0
19,9,true,forest,subregion.life.north_east_telluria,,0
0,10,true,grassland,subregion.life.south_telluria,,0
1,10,true,grassland,subregion.life.south_telluria,,0
2,10,true,grassland,subregion.life.south_telluria,,0
3,10,true,grassland,subregion.life.south_telluria,,0
4,10,true,grassland,subregion.life.south_telluria,,0
5,10,true,marsh,subregion.life.south_telluria,,0
6,10,true,grassland,subregion.life.south_telluria,,0
7,10,true,grassland,subregion.life.south_telluria,,0
8,10,true,grassland,subregion.life.south_telluria,,0
9,10,true,farmland,subregion.life.south_telluria,,0
10,10,true,farmland,subregion.life.south_telluria,site.farm.starter_storehouse,0
11,10,true,grassland,subregion.life.south_telluria,,0
12,10,true,grassland,subregion.life.south_telluria,,0
13,10,true,forest,subregion.life.south_telluria,,0
14,10,true,forest,subregion.life.south_telluria,,0
15,10,true,deep_forest,subregion.life.south_telluria,,0
16,10,true,deep_forest,subregion.life.south_telluria,,0
17,10,true,deep_forest,subregion.life.south_telluria,,0
18,10,true,deep_forest,subregion.life.south_telluria,,0
19,10,true,deep_forest,subregion.life.south_telluria,,0
0,11,true,grassland,subregion.life.south_telluria,,0
1,11,true,grassland,subregion.life.south_telluria,,0
2,11,true,grassland,subregion.life.south_telluria,,0
3,11,true,grassland,subregion.life.south_telluria,,0
4,11,true,grassland,subregion.life.south_telluria,,0
5,11,true,grassland,subregion.life.south_telluria,,0
6,11,true,farmland,subregion.life.south_telluria,,0
7,11,true,farmland,subregion.life.south_telluria,,0
8,11,true,grassland,subregion.life.south_telluria,site.settlement.balerno,0
9,11,true,grassland,subregion.life.south_telluria,,0
10,11,true,farmland,subregion.life.south_telluria,,0
11,11,true,farmland,subregion.life.south_telluria,,0
12,11,true,grassland,subregion.life.south_telluria,site.oakstead.artifact_hall,0
13,11,true,grassland,subregion.life.south_telluria,,0
14,11,true,forest,subregion.life.south_telluria,,0
15,11,true,deep_forest,subregion.life.south_telluria,,0
16,11,true,deep_forest,subregion.life.south_telluria,,0
17,11,true,deep_forest,subregion.life.south_telluria,,0
18,11,true,deep_forest,subregion.life.south_telluria,,0
19,11,true,deep_forest,subregion.life.south_telluria,,0
0,12,true,grassland,subregion.life.south_telluria,,0
1,12,true,grassland,subregion.life.south_telluria,,0
2,12,true,grassland,subregion.life.south_telluria,,0
3,12,true,grassland,subregion.life.south_telluria,,0
4,12,true,farmland,subregion.life.south_telluria,,0
5,12,true,farmland,subregion.life.south_telluria,,0
6,12,true,farmland,subregion.life.south_telluria,,0
7,12,true,farmland,subregion.life.south_telluria,,0
8,12,true,farmland,subregion.life.south_telluria,,0
9,12,true,farmland,subregion.life.south_telluria,,0
10,12,true,farmland,subregion.life.south_telluria,,0
11,12,true,farmland,subregion.life.south_telluria,site.oakstead.warehouse,0
12,12,true,grassland,subregion.life.south_telluria,site.oakstead.syndicate_house,0
13,12,true,grassland,subregion.life.south_telluria,,0
14,12,true,grassland,subregion.life.south_telluria,site.settlement.ascot,0
15,12,true,forest,subregion.life.south_telluria,,0
16,12,true,deep_forest,subregion.life.south_telluria,,0
17,12,true,deep_forest,subregion.life.south_telluria,site.wilderness.deep_forest_ruins,0
18,12,true,deep_forest,subregion.life.south_telluria,,0
19,12,true,deep_forest,subregion.life.south_telluria,,0
0,13,true,grassland,subregion.life.south_telluria,,0
1,13,true,grassland,subregion.life.south_telluria,,0
2,13,true,grassland,subregion.life.south_telluria,,0
3,13,true,farmland,subregion.life.south_telluria,,0
4,13,true,farmland,subregion.life.south_telluria,,0
5,13,true,farmland,subregion.life.south_telluria,,0
6,13,true,grassland,subregion.life.south_telluria,,0
7,13,true,grassland,subregion.life.south_telluria,,0
8,13,true,grassland,subregion.life.south_telluria,,0
9,13,true,farmland,subregion.life.south_telluria,,0
10,13,true,farmland,subregion.life.south_telluria,,0
11,13,true,farmland,subregion.life.south_telluria,,0
12,13,true,farmland,subregion.life.south_telluria,,0
13,13,true,grassland,subregion.life.south_telluria,,0
14,13,true,grassland,subregion.life.south_telluria,,0
15,13,true,forest,subregion.life.south_telluria,,0
16,13,true,forest,subregion.life.south_telluria,,0
17,13,true,deep_forest,subregion.life.south_telluria,,0
18,13,true,deep_forest,subregion.life.south_telluria,site.fifth_god_ruin,0
19,13,true,deep_forest,subregion.life.south_telluria,,0
0,14,true,grassland,subregion.life.south_telluria,,0
1,14,true,grassland,subregion.life.south_telluria,,0
2,14,true,grassland,subregion.life.south_telluria,,0
3,14,true,farmland,subregion.life.south_telluria,,0
4,14,true,farmland,subregion.life.south_telluria,,0
5,14,true,farmland,subregion.life.south_telluria,,0
6,14,true,grassland,subregion.life.south_telluria,,0
7,14,true,grassland,subregion.life.south_telluria,,0
8,14,true,grassland,subregion.life.south_telluria,,0
9,14,true,grassland,subregion.life.south_telluria,site.settlement.dalry,0
10,14,true,grassland,subregion.life.south_telluria,,0
11,14,true,farmland,subregion.life.south_telluria,,0
12,14,true,farmland,subregion.life.south_telluria,,0
13,14,true,grassland,subregion.life.south_telluria,,0
14,14,true,grassland,subregion.life.south_telluria,,0
15,14,true,grassland,subregion.life.south_telluria,,0
16,14,true,forest,subregion.life.south_telluria,,0
17,14,true,deep_forest,subregion.life.south_telluria,,0
18,14,true,deep_forest,subregion.life.south_telluria,,0
19,14,true,deep_forest,subregion.life.south_telluria,,0
